Order_ID,Order_Date,Region,Country,Product_Category,Product_Name,Quantity,Unit_Price,Revenue,Cost,Profit,Customer_Segment,Sales_Channel
ORD0001,2025-06-13,Europe,Germany,Office Supplies,Pen Set,8,3,24,14.54,9.46,B2B,Partner
ORD0002,2025-05-20,Europe,Netherlands,Furniture,Chair,1,60,60,34.41,25.59,B2B,Partner
ORD0003,2025-06-04,Europe,Netherlands,Electronics,Headphones,18,40,720,471.51,248.49,B2C,Partner
ORD0004,2025-03-13,Europe,France,Office Supplies,Pen Set,11,3,33,20.44,12.56,B2B,Retail
ORD0005,2025-01-27,Europe,Spain,Electronics,Tablet,12,250,3000,2102.79,897.21,B2B,Partner
ORD0006,2025-04-28,North America,USA,Furniture,Chair,18,60,1080,673.16,406.84,B2C,Partner
ORD0007,2025-02-19,North America,USA,Electronics,Headphones,8,40,320,237.85,82.15,B2B,Online
ORD0008,2025-01-26,Asia,Japan,Furniture,Shelf,12,120,1440,850.56,589.44,B2C,Online
ORD0009,2025-06-21,Asia,Singapore,Office Supplies,Printer Paper,3,8,24,16.85,7.15,B2B,Partner
ORD0010,2025-03-04,Europe,Spain,Furniture,Desk,18,200,3600,2177.65,1422.35,B2C,Online
ORD0011,2025-02-28,Europe,Italy,Furniture,Desk,3,200,600,361.65,238.35,B2C,Online
ORD0012,2025-06-17,Asia,Japan,Office Supplies,Pen Set,5,3,15,9.24,5.76,B2B,Partner
ORD0013,2025-05-24,North America,Canada,Office Supplies,Printer Paper,14,8,112,86.74,25.26,B2C,Retail
ORD0014,2025-02-26,Europe,Netherlands,Furniture,Chair,2,60,120,91.83,28.17,B2B,Partner
ORD0015,2025-02-10,North America,Canada,Office Supplies,Notebook,13,5,65,41.95,23.05,B2C,Partner
ORD0016,2025-03-06,North America,USA,Office Supplies,Printer Paper,4,8,32,23.05,8.95,B2C,Partner
ORD0017,2025-03-29,Europe,Italy,Furniture,Chair,15,60,900,495.73,404.27,B2C,Partner
ORD0018,2025-02-15,North America,USA,Office Supplies,Pen Set,17,3,51,35.81,15.19,B2B,Retail
ORD0019,2025-02-11,North America,USA,Office Supplies,Pen Set,16,3,48,26.63,21.37,B2C,Retail
ORD0020,2025-03-03,Europe,France,Office Supplies,Notebook,3,5,15,10.99,4.01,B2B,Partner
ORD0021,2025-02-02,Europe,Spain,Office Supplies,Notebook,9,5,45,30.69,14.31,B2C,Online
ORD0022,2025-05-19,North America,USA,Office Supplies,Pen Set,13,3,39,31.15,7.85,B2C,Retail
ORD0023,2025-05-13,Asia,India,Electronics,Mobile,3,300,900,571.07,328.93,B2B,Partner
ORD0024,2025-02-26,Europe,Germany,Office Supplies,Printer Paper,2,8,16,9.72,6.28,B2B,Retail
ORD0025,2025-01-19,North America,USA,Furniture,Shelf,16,120,1920,1158.83,761.17,B2B,Partner
ORD0026,2025-05-27,North America,Canada,Electronics,Monitor,14,180,2520,1505.96,1014.04,B2B,Partner
ORD0027,2025-04-21,Asia,Japan,Furniture,Desk,2,200,400,287.34,112.66,B2B,Online
ORD0028,2025-04-14,North America,Canada,Electronics,Mobile,7,300,2100,1254.86,845.14,B2C,Online
ORD0029,2025-04-19,Europe,Italy,Furniture,Chair,3,60,180,118.94,61.06,B2B,Online
ORD0030,2025-06-16,North America,USA,Electronics,Mobile,6,300,1800,1172.89,627.11,B2C,Online
ORD0031,2025-04-13,Europe,France,Furniture,Chair,13,60,780,480.71,299.29,B2C,Retail
ORD0032,2025-04-19,North America,Canada,Electronics,Mobile,10,300,3000,1813.28,1186.72,B2B,Partner
ORD0033,2025-05-19,Europe,Italy,Electronics,Laptop,19,800,15200,10171.8,5028.2,B2B,Online
ORD0034,2025-05-11,Europe,France,Electronics,Keyboard,3,35,105,75.47,29.53,B2B,Retail
ORD0035,2025-01-31,North America,USA,Office Supplies,Printer Paper,2,8,16,11.28,4.72,B2C,Partner
ORD0036,2025-05-30,North America,Canada,Furniture,Chair,11,60,660,402.38,257.62,B2C,Online
ORD0037,2025-06-21,North America,Canada,Furniture,Desk,3,200,600,331.4,268.6,B2B,Online
ORD0038,2025-05-18,Europe,Netherlands,Furniture,Chair,12,60,720,554.56,165.44,B2B,Retail
